rq_id,old_rq_no,old_slide,category,chapter,chapter_v3,section,hitl,component,charted,chapter_note,action,question,kind,role,method,detectors,sources,status,defer_reason,background,hypothesis,ideal,transcript,old_question,merged_in,now
NEW-A-01,,,C14,2,2,S01,no,observability,no,,new,"Can every commit be linked to a PR, every PR to a work item, and every work item to a goal?",yes/no,preflight,sql,,commits;prs;plan_items;goals,now,,The unit-of-work rollup only works if the links exist.,Not discussed. Draft: PR→item links exist for most factory-era work; commit→PR is complete.,Every link is recorded at write time.,,,,
NEW-A-04,,,C03,2,2,S02,no,none,no,,new,"Is there a pre-factory period in each repo's history, before any skills, work-item store or template?",yes/no,preflight,sql,,commits;skill_versions;plan_items,now,,The before-the-factory section only applies to repos that have one.,auth and the website have pre-June history; most clones don't.,n/a,,,,
NEW-PF-09,,,C14,2,10,S01,no,observability,no,,new,"Does every data source cover the full study window with timestamps, and where are its gaps?",yes/no,preflight,sql,,git.commits;github.prs;harness.sessions;plans.plan_items,now,,A trend is only real if every source covers the whole window: a source that starts in July makes July look like a step change.,"Not discussed. Draft: git and PRs cover the whole year, while plan items and session logs start later and have gaps.","Every source is continuous from the first commit, with gaps logged.",,,,
NEW-A-02,,,C14,2,2,S01,no,none,no,,new,"How many change sets does a typical commit, PR, work item and goal contain?",distribution,core,sql + detector,D1,commits;prs;plan_items;goals,now,,Sets the scale of the rollup from lines to change sets to commits to PRs to items to goals.,"Most commits are one change set, or can be grouped into one.",One change set per commit; PRs group related change sets.,00:24:15 'most of our commits are change sets… or can be grouped into one single change set',,,
NEW-A-05,,,C03,2,2,S02,no,none,no,,new,"Before the factory, how large and how focused were PRs, in change sets per PR?",distribution,core,sql + detector,D1,prs;commits,now,,"Size matters less than focus: a large PR is fine if everything in it is related, because the reviewer is an agent.",A PR can be large as long as it's all related; size means focus for review.,"PRs are one goal each, whatever their line count.",00:38:43 'it can be a large PR as long as the PR is doing that is all related',,,
NEW-A-06,,,C03,2,2,S02,yes,gate,no,,new,"Before the factory, were changes reviewed, and by whom: a human, an automated reviewer, or nobody?",metric,core,sql,,pr_reviews;prs,now,,Establishes the review baseline the factory's reviewer is compared with.,Not discussed. Draft: little or no review before the factory.,Every change gets an automated review.,00:39:19 'do you have a reviewer that is automated or not?',,,
RQ-h1-041,RQ 03.05,54,C03,2,2,S01,no,none,no,,reword,"Where does each stage begin (one person with an agent, the same person with skills, a fleet with a template), and how sensitive are the findings to those boundaries?",judgement,core,sql + human,,commits;skill_versions;plan_items,now,,"A factory doesn't appear on one day. The boundary is staged, and each finding should say which stage it measures.","I don't think a factory is one day. It's staged: an individual, an individual with skills, a fleet with template repos and improvements.","Stage transitions are recorded events, not inferred from history.",00:41:42 'individual… individual with skills… fleet with template repos etc and improvements',"Where should the boundary between pre-factory and factory work be drawn for a given repo, how sensitive is the resulting pre-factory commit count to that choice, and how much pre-factory work exists across the fleet under whichever boundary is chosen?",,
RQ-h1-042,RQ 03.03,52,C03,2,2,S02,no,none,yes,,reword,How many commits per day did each repo see before the factory?,metric,core,sql,,commits,now,,A plain calculable baseline for later throughput comparisons.,This is a calculable thing: commits per day per repo before the factory.,Not a target in itself; it is the baseline later throughput is compared with.,00:40:09 'how dense was prefactory commit activity… this is again calculatable',"How dense was pre-factory commit activity (commits per day) in a repo, does a younger pre-factory repo run denser than an older one, and were pre-factory repos built with no visible cross-repo coordination compared to the coordination seen once the factory was running?",,
RQ-h1-043,RQ 03.04,53,C03,2,2,S02,yes,none,no,,reword,"Before the factory, what share of commits came from the human alone versus with an agent co-author?",metric,core,sql,,commits;trailers,now,,Shows how much agent work already existed before the factory: auth's pre-June commits mostly carry a Claude trailer. Time-of-day pattern is secondary.,How much was human versus agent before the factory?,Not applicable; the ideal factory is all-agent authorship with human gates.,00:41:06 'what share commits were attributed to a single human committer… How much was human versus agent?',"Before the factory existed, what share of commits were attributed to a single human committer, what share already carried an agent co-committer credit and under which harness version, and does the time-of-day pattern of those commits look like ordinary work hours or continuous, round-the-clock agent work?",,
RQ-h1-044,RQ 03.01,50,C03,2,2,S02,no,none,yes,,reword,"How strictly did commit messages follow a convention before the factory, and did the convention change once it arrived?",metric,core,sql,,commits,now,,"Programs over every message can be expensive; start from volume and one-line subjects. Convention type, scope and length are parsed by regex.","How strict was the message convention and did it change? Start with volume or one-line summaries, since doing it all by program may be expensive.",Every commit follows one convention enforced by a hook.,"00:39:39 'the message convention, how strict was it? How did it change'","How consistently did pre-factory commits follow a structured message convention (type, scope, length, issue references, merge-commit discipline), how does that compare to the same repo once the factory was running, and did a younger repo adopt structured conventions faster than an older one, suggesting the convention spread over time?",,
